Respondent,Native,Gender,Age,Education,Work Field,Place of Birth,Place of Residence,Birth Month,We had the right coordinates and just where the house once STAND we found flowering lilac bushes.,No one knew she DIE before the neighbors were disturbed by the smell.,"One hour later the only difference was that they LOCK the door, he says.",This morning when I came out I discovered that spring COME.,Vasa SINK in front of horrified onlookers four hundred years ago.,My grandmother told me that when she was a little girl her family BE very poor.,We BUY some clothes but then we returned them.,He SOLVE the problem but then he realized the solution was wrong.,The detour via Riga took two hours longer than if he FLY directly from Turku to Stockholm.,"The deer was so big that even if I HIT it straight from the front, it would just ran away.",Mom and dad BUY the house a few months before Mirra was born.,"Susi LIVE in five different families before she came to the orphanage in winter, says Judith.",I thought they PACK their bags already.,I looked out through a hole in the cardboard and saw that clouds GATHER in the sky.,"Erik VII, King of Denmark BUILD the Kronborg castle six hundred years ago.",My grandfather told me that when he was a little boy his family LIVE in a barn.,I even WROTE down the number but forgot it anyway.,She forgot she alredy DO this.,The accident would never have reached this extent if someone BE willing to accept the tanker.,"If she EXPECT something like that, she would have been completely wrong.",He was nominated for the Noble Peace Prize only 12 days after he TAKE over as a new US president.,A few years later it turned out Gleb MOVE to Prague.,"Amalie announced that her factory MANUFACTURE 100,000 filters.","Sweden LOSE too many ships in the Baltic Sea, so they clearly needed to build this huge monster Vasa.",This city BURN down five hundred years ago.,My parents told me that when they were very young their life BE much more difficult than now.,They forgot that they already MEET this person.,Our dog RUN away from us once but fortunately she was able to return back home.,If she COME the party would not have turned out so boring.,He would have arrived twenty minutes earlier if he TAKE the subway instead of a taxi.
1,Fluent,Male,54,PhD,Research and teaching at a university,"Sweden, Stockholm","Latvia, Daugavpils",September-December,,,,,,,,,,,,,,,,,,,,,Han blev nominerad till Nobels fredspris bara 12 dagar efter han HADE TAGIT sin post som den nye USA president.,Några år senare stod det klart att Gleb HADE FLYTTAT till Prag.,Amalie annonserade att hennes fabrik TILLVERKADE 100000 filter.,"Sverige HADE FÖRLORAT alldeles för många skepp i Östersjön, därför behövde man bygga det stora Vasamonstret.","Sverige hade förlorat alldeles för många skepp i Östersjön, därför behövde man bygga det stora Vasamonstret.",Mina föräldrar berättade till mig att deras liv VAR betydligt svårare när de var mycket unga.,De hade glömt att de HADE redan TRÄFFAT den här personen.,Vår hund HADE SPRUNGIT bort en gång men lyckligtvis hittade hon tillbaka hem.,Om hon HADE KOMMIT då hade festen inte blivit så tråkig.,Han skulle ha kommit tjugo minuter tidigare om han HADE TAGIT tunnelbana istället för taxi.
2,Yes,Female,24,Undergraduate,Studying for the LL.M. and a bachelor's degree in Russian.,"Sweden, Stockholm","Sweden, Uppsala",May-August,,,,,,,,,,,Mamma och pappa KÖPTE huset några månader innan Mirra föddes.,"Susi HADE BOTT i fem olika familjer innan hon kom till barnhemmet i vintras, säger Judith. ",Jag trodde att de HADE PACKAT  sina väskor redan.,Jag tittade ut genom ett hål i kartongen och såg att moln HADE SAMLATS på himlen.,"Erik VII, Kung av Danmark, BYGGDE Kronborg Slott för sexhundra år sedan.",Min morfar berättade för mig att när han var en liten pojke BODDE hans familj i en lada.,"Jag SKREV till och med ner numret, men jag glömde det i alla fall.",Hon glömde att hon redan HADE GJORT  detta.,Olyckan skulle aldrig ha nått den här omfattningen om någon HADE VARIT villig att ta emot tankfartyget.,"Om hon HADE FÖRVÄNTAT sig något sådant, skulle hon ha haft helt fel.",,,,,,,,,,
3,No,Male,51,BA,Software development ,"Russia, Moscow","Sweden, Stockholm",May-August,,,,,,,,,,,Mor och far KÖPTE huset några månader innan Mirra föddes.,"Susi HADE BOTT i fem olika familjer innan hon kom till barnhemmet,  sade Judith.",Trodde de HADE redan PACKAT upp.,Jag tittade igenom ett hål i kartongen och såg att moln SAMLADES på himlen.,"Erik VII, kung av Danmark, BYGGDE Kronborg slottet för sex hundra år sedan.",Farfar sade att när han var liten så BODDE familjen i ett ladugård.,"Jag HADE SKRIVIT  ner numret, men ändå glömde bort det.",Hon glömde bort hon redan GJORT  det. ,Olyckan borde aldrig blivit så pass stor om någon HADE VELAT att ta emot tankern.,HADE hon FÖRVÄNTAT sig av något sådant så skulle hon vara helt fel.,,,,,,,,,,
4,Yes,Female,23,Undergraduate,"Student of Development studies, this semester doing Russian language","Sweden, Stockholm","Sweden, Uppsala",May-August,,,,,,,,,,,Mamma och pappa KÖPTE huset ett par månader innan Mirra föddes.,"Susi BODDE hos fem olika familjer innan hon kom till barnhemmet i vintras, säger Judith.",Jag trodde att de HADE PACKAT  sina väskor redan.,Jag tittade ut genom ett hål i kartongen och såg att moln samlades på himlen.,"Erik VII, Kung av Danmark, BYGGDE Kronborg Slott för sexhundra år sedan.",Min morfar/farfar berättade för mig att när han var en liten pojke så BODDE hans familj i en lada.,Jag SKREV till och med ned numret men glömde det ändå.,Hon glömde att hon redan GJORT  detta.,Olyckan hade aldrig nått de här proportionerna om någon HADE VARIT villig att acceptera tankbåten.,"Om hon VÄNTADE sig något sådant, hade hon haft helt fel.",,,,,,,,,,
5,Yes,Female,20,Undergraduate,"University studies. Linguistics, Spanish and Russian.","Sweden, Stockholm","Sweden, Stockholm",January-April,Vi hade den rätta platsangivelsen och precis där huset en gång HADE STÅTT fann vi blomstrande syrenbuskar.,Ingen visste att hon HADE DÖTT förrän grannarna besvärades av lukten.,"En timme senare var den enda skillnaden att de HADE LÅST dörren, säger han.",Denna morgon när jag kom ut upptäckte jag att våren HADE KOMMIT.,Vasa SJÖNK inför förfärade åskådare för hundra år sedan.,Min farmor berättade för mig att när hon var en liten flicka HADE hennes familj VARIT mycket fattig.,Vi HADE KÖPT lite kläder med sedan lämnade vi tillbaka dem.,Han LÖSTE problemet men sedan insåg han att lösningen var fel.,Omvägen via Riga tog två timmar längre än om de SKULLE HA FLUGIT direkt från Turku till Stockholm.,"Rådjuret var så stort att även om jag SKULLE HA TRÄFFAT det rakt framifrån, skulle det bara ha sprungit iväg.",,,,,,,,,,,,,,,,,,,,
6,Fluent,Female,25,Undergraduate,Studying biotechnical engineering,"Russia, Moscow","Sweden, Uppsala",January-April,Vi hade korrekta koordinater och precis där huset STOD för hittade vi blommande syrenbuskar.,Ingen visste att hon HADE DÖTT innan grannarna kände den störande lukten.,"Enda skillnaden en timme senare var att de HADE LÅST dörren, säger han.",När jag kom ut imorse upptäckte jag att våren HAR KOMMIT.,Fyra hundra år sedan SJÖNK Vasa framför förskräckta åskådare.,Min mormor berättade mig är VAR hennes familj riktigt fattig när hon var liten.,Vi KÖPTE lite kläder men återlämnade dem senare.,Han LÖSTE problemet men fattade senare att lösningen var fel.,Omvägen genom Riga tog två timmar längre än om han FLÖG direkt från Turku till Stockholm,Renen var så stor att även om jag SLOG den rakt i fronten skulle den bara springa iväg,,,,,,,,,,,,,,,,,,,,
7,Yes,Male,26,BA,Linguistics,"Sweden, Uppsala","Sweden, Uppsala",January-April,"Vi hade de rätta koordinaterna och precis där huset HADE STÅTT en gång, hittade vi blommande liljebuskar",Ingen visste att hon HADE DÖTT innan grannarna kände lukten.,"En timme senare var den enda skillnaden att de HADE LÅST dörren, säger han",När jag gick ut i morse upptäckte jag att våren HADE KOMMIT.,Vasa SJÖNK inför förskräckta betraktare hundra år sedan,Min mormor berättade för mig att hennes familj HADE VARIT väldigt fattig när hon var liten flicka.,"Vi KÖPTE några kläder, men sedan lämande vi tillbaka dem","Han LÖSTE problemet, men sedan insåg han att lösningen var fel",Avstickaren via Riga tog två timmar längre än om han HADE FLYGIT direkt från Åbo till Stockholm,"Rådjuret var så stort att även om jag HADE SLAGIT det rakt framifrån, så hade det bara sprungit iväg",,,,,,,,,,,,,,,,,,,,
8,Yes,Male,22,BA,"University student, mathematics","Sweden, Helsingborg","Sweden, Helsingborg",January-April,"Vi hade rätt koordinater, och precis där huset en gång HADE STÅTT hittade vi blommande syrenbuskar.",Ingen visste att hon HADE DÖTT innan grannarna stördes av lukten.,En timme senare var den enda skillnaden att de HADE LÅST dörren.,Den här morgonen när jag kom ut upptäckte jag att våren HADE KOMMIT.,VasaSJÖNK framför förskräckta åskådare fyrahundra år sedan.,Min farmor berättade för mig att när hon var en liten flicka VAR hennes familj mycket fattig.,Vi HADE KÖPT några klädesplagg men sedan återvände vi dem.,Han LÖSTE problemet men sedan insåg han att lösningen var fel.,Omvägen via Riga tog två timmar längre än om han HADE FLUGIT  direkt från Turku till Stockholm.,"Rådjuret var så stort att även om jag HADE TRÄFFAT det från framsidan, så hade det bara sprungit iväg.",,,,,,,,,,,,,,,,,,,,
9,Yes,Male,23,Undergraduate,Digital Marketing,"Sweden, Helsingborg","Sweden, Helsingborg",January-April,Vi hade de korrekta koordinaterna och exakt där huset en gång STOD hittade vi blommande ?-buskar.,Ingen visste att HADE DÖTT innan grannarna stördes av lukten.,"En timme senare så var den enda skillnaden att de HADE LÅST dörren, sade han.",När jag gick ut imorse upptäckte jag att våren HADE KOMMIT.,Vasa SJÖNK framför skräckslagna åskådare för fyrahundra år sedan.,Min farmor berättade för mig att när hon var en liten flicka så VAR hennes familj fattig.,Vi KÖPTE lite kläder men sedan lämnade vi tillbaka dem.,Han LÖSTE problemet men insåg sedan att lösningen var felaktig.,Omvägen via Riga tog två timmar längre än om han HADE FLUGIT  direkt från Turku till Stockholm.,Renen var så pass stor att även om vi KÖRT på den rakt framifrån så hade den bara sprungit iväg. ,,,,,,,,,,,,,,HADE FÖRLORAT,,,,,,
10,Yes,Male,21,Undergraduate,construction,"Sweden, Helsingborg","Sweden, Helsingborg",January-April,Vi hade rätt koordinater och precis där huset en gång HADE STÅTT hittade vi blomstrande syren buskar.,Ingen viste att hon HADE DÖTT tills att grannarna stördes av en lukt.,"Ända skillnaden en timme senare var att de HADE LÅST dörren, sade han.",Denna morgonen när jag gick ut upptäckte jag att våren HADE ANLÄNT.,Vasa SJÖNK inför en förskräckt publik fyra hyndra år sedan.,Min mormor sa att när hon var en liten flicka så VAR hennes familj väldigt fattiga.,Vi KÖPTE lite kläder men sen lämna vi tillbaka dom.,Han LÖSTE problemet men sen insåg han att lösningen var fel.,Omvägen via Riga tog två timmar längre än ifall han SKULLE FLUGIT  direkt från Turku till Stockholm.,Renen var så stor att även om jag TRÄFFADE den rakt framifrån så skulle den bra ha sprungit iväg.,,,,,,,,,,,,,,,,,,,,
11,Yes,Male,37,BA,Teacher; Now studying german and russian language,"Sweden, Karlskrona","Sweden, Uppsala",September-December,,,,,,,,,,,,,,,,,,,,,Han nominerades till Nobels fredspris endast 12 dagar efter det att han TAGIT över som USA’s nye president.,Några år senare visade det sig att Gleb HADE FLYTTAT till Prag.,Amalie redovisade att hennes fabrik TILLVERKADE 100000 filter.,"Sverige FÖRLORADE alltför många skepp i Östersjön, så att de uppenbarligen måste bygga det här väldiga monstret Wasa.",Den här staden BRANN ner för femhundra år sedan.,"Mina föräldrar berättade för mig, att när de var mycket unga, VAR livet mycket svårare än nuförtiden.",De glömde att de redan HADE MÖTT den här personen.,"Vår hund SPRANG iväg från oss, men lyckligtvis kunde hon komma tillbaka  hem igen.","Om hon HADE KOMMIT, hade inte partyt blivit så tråkigt.",Han skulle ha kunnat anlända 20 minuter tidigare om han HADE TAGIT tunnelbanan istället för taxi.
12,Yes,Male,55,MA,Music teacher,"Sweden, Uppsala","Sweden, Uppsala",September-December,,,,,,,,,,,,,,,,,,,,,Han blev nominerad till Nobels fredspris bara 12 dagar efter att han TAGIT över som USAs nya president.,Det visade sig några år senare att Gleb FLYTTAT till Prag.,Amalie tillkännagav att hennes fabrik PRODUCERADE 100 000 filter.,"Sverige FÖRLORADE för många skepp i Östersjön, så de behövde verkligen bygga detta enorma monster Vasa.",Den här staden BRANN ner för fem hundra år sedan. ,Mina föräldrar berättade för mig att när de var unga VAR deras liv mycket mer svårt än nu.,De glömde att de redan MÖTT den här personen.,Vår hund RYMDE från oss en gång men lyckligtvis kunde hon komma tillbaka hem.,Om hon KOMMIT till partyt skulle det inte ha blivit så tråkigt.,Han skulle ha kommit tjugo minuter tidigare om han TAGIT tunnelbanan istället för en taxi.
13,Yes,Female,79,BA,"teacher, russian studies","Sweden, Sundsvall","Sweden, Uppsala",May-August,,,,,,,,,,,Mamma och pappa HADE KÖPT huset några månader innan Mirra föddes.,"Susi HAR BOTT i 5 olika familjer innan hon kom till barnhemmet , berättar Judit.",Jag trodde de HADE PACKAT  sina väskor redan.,Jag tittade ut genom ett hål i kartongen och såg att moln samlades på himlen.,"Erik VII, Kungen av Danmark BYGGDE slottet Kronborg för sex hundra år sedan.",Min farfar berättade för mig att när han var en liten pojke så BODDE hans familj i en  ladugård.,Jag SKREV till och med upp numret men glömde det i alla fall.,Hon glömde att hon redan GJORT  detta.,Olyckan skulle inte fått denna omfattning om någon SKULLE VARIT villig att acceptera .......,"Om hon HADE FÖRVÄNTAT  något liknande, skulle hon ha haft fullständigt fel.",,,,,,,,,,
14,Fluent,Female,29,PhD,Researcher at Luleå University of Technology ,"Russia, Moscow ","Sweden, Luleå ",May-August,,,,,,,,,,,Mamma och pappa HADE KÖPT huset några år innan Mirra föddes.,"Susi HAR BOTT i fem olika familjer innan hon kom till det där barnhemmet den vinsern, sa Judith. ",Jag trodde de HADE PACKAT  sina väskor (resväskor) redan ,Jag kikade genom hålet i kartongen och såg molnen SAMLAS i himmelen. ,"Erink den sjunde, konungen av Denmark BYGGDE Kronborgslottet för sex hundra år sedan. ",Min morfar/farfar sa att han BODDE i en ladugård när han var liten. ,Jag SKREV till och med ner numret men glömde det ändå. ,Hon hon har glömt att hon HADE redan GJORT  det. ,Olyckan hade aldrig lett till sådana omfattande konsekvenser om någon HADE TAGIT emot tankfartyget ,HADE hon FÖRVÄNTAT  sig något sådant skulle hon haft helt fel. ,,,,,,,,,,
